"scenario","scenario_label","n_person","model","scoring_label","term","n_rep","estimable_rate","singular_rate","sig_rate","beta_median","beta_q25","beta_q75","se_median"
"balanced_moderate","Balanced lists, moderate context effect",24,"lenient_adjusted","Lenient any knowledge","condition_num",500,1,0.084,0.314,0.260402880421612,0.137924724793833,0.360317174567014,0.17144447680399
"balanced_moderate","Balanced lists, moderate context effect",24,"partial_lmm_adjusted","Partial credit","condition_num",500,1,0.062,0.414,0.0410640635553922,0.0249655770396877,0.0583093425968834,0.0234811788602656
"balanced_moderate","Balanced lists, moderate context effect",24,"strict_adjusted","Strict full recall","condition_num",500,1,0.198,0.296,0.415218064493859,0.2152647569983,0.608921318473934,0.281279166993326
"imperfect_counterbalance","Imperfect counterbalance with item-feature skew",24,"lenient_adjusted","Lenient any knowledge","condition_num",500,1,0.04,0.452,0.331024924404637,0.197817503389446,0.459951430349532,0.181061508808516
"imperfect_counterbalance","Imperfect counterbalance with item-feature skew",24,"partial_lmm_adjusted","Partial credit","condition_num",500,1,0.014,0.532,0.0504199308523867,0.029235857347523,0.0681063628624358,0.024742689739519
"imperfect_counterbalance","Imperfect counterbalance with item-feature skew",24,"strict_adjusted","Strict full recall","condition_num",500,1,0.128,0.402,0.506621942818257,0.314423796754497,0.702264660026487,0.294346529960672
"partial_only_effect","Context mainly creates partial knowledge",24,"lenient_adjusted","Lenient any knowledge","condition_num",500,1,0.076,0.798,0.491568698027572,0.364964934812358,0.606047753339337,0.16901436567985
"partial_only_effect","Context mainly creates partial knowledge",24,"partial_lmm_adjusted","Partial credit","condition_num",500,1,0.04,0.762,0.064283116900104,0.0477238581218485,0.0792960753111785,0.0233076407225379
"partial_only_effect","Context mainly creates partial knowledge",24,"strict_adjusted","Strict full recall","condition_num",500,1,0.198,0.192,0.331815175537623,0.175850093529133,0.496853502646725,0.280805803690331
"true_null_balanced","True null, balanced lists",24,"lenient_adjusted","Lenient any knowledge","condition_num",500,1,0.1,0.044,-0.00728101120061022,-0.118559254018063,0.132763699293494,0.173642932470295
"true_null_balanced","True null, balanced lists",24,"partial_lmm_adjusted","Partial credit","condition_num",500,1,0.06,0.058,0.000968398187970115,-0.016572543187144,0.0181097652861106,0.0225013353409649
"true_null_balanced","True null, balanced lists",24,"strict_adjusted","Strict full recall","condition_num",500,1,0.228,0.044,0.00776975735605427,-0.208526082602259,0.196379324588578,0.298719758762625
"weak_moderated_missing","Weak effect with aptitude-linked delayed attrition",24,"lenient_adjusted","Lenient any knowledge","condition_num",500,1,0.128,0.178,0.180620306948385,0.0582631635878046,0.313456793507227,0.187311224762383
"weak_moderated_missing","Weak effect with aptitude-linked delayed attrition",24,"partial_lmm_adjusted","Partial credit","condition_num",500,1,0.08,0.276,0.0322859914507846,0.0150061678766159,0.0528191208276493,0.0253676902159466
"weak_moderated_missing","Weak effect with aptitude-linked delayed attrition",24,"strict_adjusted","Strict full recall","condition_num",500,1,0.284,0.234,0.373287100035395,0.173430027060138,0.575441314888012,0.301384820207905
"balanced_moderate","Balanced lists, moderate context effect",60,"lenient_adjusted","Lenient any knowledge","condition_num",500,1,0,0.588,0.237102650747794,0.161464856701856,0.313132468058206,0.108130426859522
"balanced_moderate","Balanced lists, moderate context effect",60,"partial_lmm_adjusted","Partial credit","condition_num",500,1,0,0.768,0.0392499555100128,0.029757608505463,0.0502044784441153,0.0147931059000988
"balanced_moderate","Balanced lists, moderate context effect",60,"strict_adjusted","Strict full recall","condition_num",500,1,0.03,0.63,0.393793893481787,0.284015487991714,0.515969761273371,0.176131212494444
"imperfect_counterbalance","Imperfect counterbalance with item-feature skew",60,"lenient_adjusted","Lenient any knowledge","condition_num",500,1,0,0.616,0.268406756000071,0.198477656732716,0.358431545275025,0.119229875408034
"imperfect_counterbalance","Imperfect counterbalance with item-feature skew",60,"partial_lmm_adjusted","Partial credit","condition_num",500,1,0,0.714,0.0414450448661078,0.0305659129531521,0.0528332932845671,0.0161682694839085
"imperfect_counterbalance","Imperfect counterbalance with item-feature skew",60,"strict_adjusted","Strict full recall","condition_num",500,1,0.008,0.648,0.444517936867453,0.31963319892099,0.577215617358946,0.191439262620643
